CNPJ;Nome;Tipo de Participante;Código CVM;Data;Status
24.380.727/0001-00;AGROBRAS AGRIC TROP DO BR SA;CIAS INCENTIVADAS REGISTRADAS;516244;09/11/2004;Cancelado
04.255.592/0001-43;AGROBUFALO SA;CIAS INCENTIVADAS REGISTRADAS;511773;14/02/2012;Cancelado
04.255.592/0001-43;AGROBUFALO SA;CIAS INCENTIVADAS REGISTRADAS;520241;02/02/2016;Cancelado
03.101.169/0001-26;AGROCISA-AGROPEC COM E IND SA;CIAS INCENTIVADAS REGISTRADAS;512613;14/02/2012;Cancelado
03.101.169/0001-26;AGROCISA-AGROPEC COM E IND SA;CIAS INCENTIVADAS REGISTRADAS;520624;24/07/2017;Cancelado
32.477.002/0001-62;AGROCUNHA SA;CIAS INCENTIVADAS REGISTRADAS;507806;14/02/2012;Cancelado
21.240.146/0001-84;AGROGALAXY PARTICIPAÇÕES S.A;CIAS ABERTAS;25658;19/03/2021;Concedido
23.461.411/0001-80;AGROIND BAQUIT SA;CIAS INCENTIVADAS REGISTRADAS;512664;14/02/2012;Cancelado
23.461.411/0001-80;AGROIND BAQUIT SA;CIAS INCENTIVADAS REGISTRADAS;520420;05/07/2016;Cancelado
04.792.719/0001-63;AGROINDL BAMA SA;CIAS INCENTIVADAS REGISTRADAS;511366;21/01/1993;Cancelado
63.791.461/0001-40;AGROINDL BARÃO DO MELGAÇO SA;CIAS INCENTIVADAS REGISTRADAS;516317;28/09/2008;Cancelado
08.987.190/0001-94;AGROINDL BARRO BRANCO SA;CIAS INCENTIVADAS REGISTRADAS;505749;28/09/2008;Cancelado
10.775.997/0001-05;AGROINDL CAIANA SA;CIAS INCENTIVADAS REGISTRADAS;501085;14/02/2012;Cancelado
15.950.058/0001-73;AGROINDL ESTRELA SA;CIAS INCENTIVADAS REGISTRADAS;510530;14/02/2012;Cancelado
08.983.322/0001-00;AGROINDL IRMAOS ALMEIDA SA;CIAS INCENTIVADAS REGISTRADAS;503614;14/02/2012;Cancelado
05.594.288/0001-93;AGROINDL LUIZ GUIMARAES SA;CIAS INCENTIVADAS REGISTRADAS;511820;14/02/2012;Cancelado
04.183.513/0001-36;AGROINDL MANACAPURU SA;CIAS INCENTIVADAS REGISTRADAS;513261;14/02/2012;Cancelado
24.272.999/0001-96;AGROINDL R. FUNDO SA-AGRISA;CIAS INCENTIVADAS REGISTRADAS;509892;28/09/2008;Cancelado
05.220.132/0001-42;AGROINDL SA  AGROISA;CIAS INCENTIVADAS REGISTRADAS;510564;14/02/2006;Cancelado
03.164.753/0001-20;AGROINDL SAO PAULO SA;CIAS INCENTIVADAS REGISTRADAS;505226;12/10/2010;Cancelado
24.422.719/0001-89;AGROINDL SERRA DAS VARAS SA;CIAS INCENTIVADAS REGISTRADAS;513997;14/02/2012;Cancelado
12.627.758/0001-33;AGROINDL STA LUZIA SA;CIAS INCENTIVADAS REGISTRADAS;511927;14/02/2012;Cancelado
04.071.676/0001-27;AGROINDL SUINORTE SA;CIAS INCENTIVADAS REGISTRADAS;511153;19/04/1991;Cancelado
12.765.541/0001-90;AGROINDL TRAVESSIA SA;CIAS INCENTIVADAS REGISTRADAS;507903;14/02/2012;Cancelado
00.922.144/0001-03;AGROINDUSTRIAL DE CEREAIS DONA CAROLINA S/A;CIAS INCENTIVADAS REGISTRADAS;518085;14/02/2012;Cancelado
00.082.253/0001-51;AGROINDUSTRIAL DE CEREAIS VERDES CAMPOS S.A.;CIAS INCENTIVADAS REGISTRADAS;519715;18/12/2013;Concedido
02.855.176/0001-50;AGROINDUSTRIAL E PASTORIL NATIVA S.A.;CIAS INCENTIVADAS REGISTRADAS;519847;12/04/2018;Cancelado
15.282.791/0001-67;AGROINDUSTRIAL PALMASA S/A;CIAS INCENTIVADAS REGISTRADAS;511277;14/02/2012;Cancelado
15.282.791/0001-67;AGROINDUSTRIAL PALMASA S/A;CIAS INCENTIVADAS REGISTRADAS;519472;01/02/2013;Cancelado
02.680.715/0001-68;AGROINDUSTRIAL SAPUCAIA S/A;CIAS INCENTIVADAS REGISTRADAS;518859;09/03/2015;Cancelado
06.846.992/0001-59;AGROINDUSTRIAL SERRA VERMELHA S/A;CIAS INCENTIVADAS REGISTRADAS;504190;14/02/2012;Cancelado
06.846.992/0001-59;AGROINDUSTRIAL SERRA VERMELHA S/A;CIAS INCENTIVADAS REGISTRADAS;520306;17/02/2016;Cancelado
22.949.390/0001-83;AGROINDUSTRIAL UNIDOS S/A;CIAS INCENTIVADAS REGISTRADAS;512770;11/01/2011;Cancelado
06.403.174/0001-81;AGROISA-AGROINDL CAMPO NOVO SA;CIAS INCENTIVADAS REGISTRADAS;501581;14/02/2012;Cancelado
12.313.151/0001-89;AGROJAISA AGROPEC JATAHY INDL;CIAS INCENTIVADAS REGISTRADAS;514500;14/09/2011;Cancelado
22.957.963/0001-10;AGROLANDIA ACAILANDIA IND SA;CIAS INCENTIVADAS REGISTRADAS;501395;14/02/2012;Cancelado
07.481.559/0001-20;AGROLUPE-AGROPEC GUADALUPE SA;CIAS INCENTIVADAS REGISTRADAS;501786;14/02/2012;Cancelado
05.753.116/0001-15;AGROLUSA-AGROINDL LUSITANA SA;CIAS INCENTIVADAS REGISTRADAS;500496;05/03/1997;Cancelado
06.272.470/0001-90;AGROMA EMPREEND RURAIS SA;CIAS INCENTIVADAS REGISTRADAS;506036;14/02/2012;Cancelado
06.777.965/0001-71;AGROMALTA AGROP MARANHENSE SA;CIAS INCENTIVADAS REGISTRADAS;503681;30/09/2011;Cancelado
01.355.296/0001-26;AGROMON SA AGRICULTURA E PEC;CIAS INCENTIVADAS REGISTRADAS;509329;14/02/2012;Cancelado
06.040.547/0001-05;AGROMOSA AGROP M F OLIVEIRA SA;CIAS INCENTIVADAS REGISTRADAS;503800;14/02/2012;Cancelado
07.025.125/0001-15;AGROMUNDO AGROPEC RAIM VIA SA;CIAS INCENTIVADAS REGISTRADAS;505846;28/09/2008;Cancelado
00.319.137/0001-03;AGRON AGROINDL SA;CIAS INCENTIVADAS REGISTRADAS;507164;14/02/2012;Cancelado
04.794.962/0001-10;AGRONESA-AGROPEC NOVA ESPERANÇA;CIAS INCENTIVADAS REGISTRADAS;507105;10/01/2012;Cancelado
21.444.765/0001-90;AGRONORTE SA;CIAS ABERTAS;221;20/12/2005;Cancelado
06.454.276/0001-26;AGRONOSA AGROPEC NORTE SA;CIAS INCENTIVADAS REGISTRADAS;519111;05/07/2011;Cancelado
04.102.265/0001-51;AGROPALMA SA;CIAS INCENTIVADAS REGISTRADAS;501166;14/02/2012;Cancelado
34.130.039/0001-45;AGROPARANÁ S/A;CIAS INCENTIVADAS REGISTRADAS;515078;14/02/2012;Cancelado
13.632.344/0001-65;AGROPASA AGR MED PARAGUASSU SA;CIAS INCENTIVADAS REGISTRADAS;512257;14/02/2012;Cancelado
06.011.779/0001-27;AGROPASTORIL CANTANHEDE SA;CIAS INCENTIVADAS REGISTRADAS;510173;14/02/2012;Cancelado
07.680.093/0001-91;AGROPASTORIL DOIS ACUDES S/A;CIAS INCENTIVADAS REGISTRADAS;505102;14/02/2012;Cancelado
02.007.196/0001-71;AGROPASTORIL ESTRELA DO ORIENTE SA;CIAS INCENTIVADAS REGISTRADAS;518697;10/06/2011;Cancelado
07.093.305/0001-34;AGROPASTORIL GADO BRANCO SA;CIAS INCENTIVADAS REGISTRADAS;514462;19/01/2011;Cancelado
08.818.981/0001-90;AGROPASTORIL GALDINO SA;CIAS INCENTIVADAS REGISTRADAS;501751;28/09/2008;Cancelado
23.434.400/0001-00;AGROPASTORIL IPUIRU SA;CIAS INCENTIVADAS REGISTRADAS;506664;28/09/2008;Cancelado
04.365.615/0001-72;AGROPASTORIL JAFFARABAD SA;CIAS INCENTIVADAS REGISTRADAS;512966;14/02/2012;Cancelado
08.317.364/0001-01;AGROPASTORIL JOSE IVO SA;CIAS INCENTIVADAS REGISTRADAS;505323;14/02/2012;Cancelado
08.993.933/0001-39;AGROPASTORIL LAGOA DE CIMA S/A - LACIMA;CIAS INCENTIVADAS REGISTRADAS;501271;03/04/2009;Cancelado
05.512.116/0001-23;AGROPASTORIL LIVRAMENTO SA;CIAS INCENTIVADAS REGISTRADAS;506184;14/02/2012;Cancelado
04.856.522/0001-40;AGROPASTORIL MURRAH S/A - AGROMURRAH;CIAS INCENTIVADAS REGISTRADAS;507261;14/02/2012;Cancelado
